id,text,gold_label
1,"Mrsrahimaতোর বাবা মরলে তুই বলিস , সালা ভলদা",Negative
2,আর সর্বশেষ সকল মানুষের নবী হযরত মোহাম্মদ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম,Positive
3,ভাঙনের আতঙ্কে দিন কাটছে তিস্তাপাড়ের মানুষের,Negative
4,"এই খাবার গুলা বানাতেও যেমন কস্ট ঠিক তেমনি এই জিনিস গুলো এই পর্যায়ে আসতেও অনেক মানুষের শ্রম , কস্ট রয়েছে",Positive
5,"এতো এতো ফুড ভ্লগার রিভিয়ার রে দেখি , কিন্তু আপনি তো আপনিই",Positive
6,জবির নতুন ক্যাম্পাসে জবি ছাত্রদলের বৃক্ষরোপন কর্মসূচি https://t.co/xStrO65d0y,Positive
7,আর্থিক প্রতিবেদনের নয় ছয় বন্ধে উদ্যোগ নিচ্ছে সরকার,Positive
8,"প্রতি রাতে ২-৩ ঘণ্টা বিদ্যুৎ থাকেনা , , ,",Neutral
9,২০০৬ সালের ৩০শে ডিসেম্বর ঈদুল আযহার দিনে সাদ্দাম হোসেনের ফাঁসি কার্যকর করা হয় । ফাঁসির আগে ঘুম থেকে ডেকে তোলা হয়ে…,Negative
10,*প্রযুক্তির নেতিবাচক ব্যবহার প্রতিরোধে শিক্ষামন্ত্রীর পরামর্শ... ।,Positive
11,"ও দাদা এতো খেলে তো ডায়াবেটিস হয়ে যাবে , একটু কমিয়ে কমিয়ে খাবেন প্লিজ",Negative
12,প্রধানমন্ত্রী ক্যান্সার জনিত রোগে আক্রান্ত হয়ে গেচেন,Negative
13,"** ১৩ , ৭৩৭ নমুনা পরীক্ষায় আরও ১ , ৭৮৮ জনের করোনা শনাক্ত , শনাক্তের হার ১৩.০২ । ** করোনায়…",Negative
14,আর ঘর থাইক্কা অর্ডার কইরা,Neutral
15,"মীরজাফরদের শেষ না করলে , আবার মাথা চারা দিয়ে উঠবে ।",Neutral
16,হিল্লোল ভাই খাচ্ছেন তারপর ও মোটা হচ্ছেন না । আর আমি তো আপনার খাওয়া দেখেই তিন কেজি বেড়ে গেলাম,Positive
17,ইসরায়েলি সেনাদের ছোড়া বুলেট ও কাঁদানো গ্যাসে ৯ ফিলিস্তিনি আহত,Negative
18,একজনে চুরি করে একমনে ও ওমর আরেকজনে বসে বসে তেল মারে .,Negative
19,"দেশে যেকোনো কিছুই ভালো হোক না কেন , সেখানেই সিন্ডিকেটের ফলে মুখ থুবড়ে পড়ে ।",Negative
20,মতে বৈশাখকে বসন্তের মাস বলা হয়,Neutral
21,"মাইর খেয়ে কুকুরের মত বাগছো , আবার সেখানে বসে কুকুরের মত ঘেউ ঘেউ করছো ।",Negative
22,সম্পুর্ণ কৃতিত্ব টা আসলে সিকিউরিটি গার্ডের সে না ধরতে পারলে হয়ত এত কাহিনী হত না,Positive
23,কারণ যেখানে উপকারের চাইতে অপকার বেশী হয় সেখানে ডায়মন্ড কখনই নিরাপদ নয় । ভালো করে খুজ নিলে দেখা যাবে যে 75 % পুলিশই কোন না কোন ভাবে এইসব অন্যায় কাজে জড়িত । তাহলে এদের রেখে কি লাভ,Negative
24,‘ জনপ্রতিনিধিদের সঙ্গে সমন্বয় করেই কাজ করছেন সচিবরা ’ https://t.co/ax96471BAY,Positive
25,চোরের দেশে আবার লটারিরি টাকা বিশ্বাস করতে কষ্ট হচ্ছে,Neutral
26,এই ধরনের ভিডিওই রেগুলারলি চাই পরপর কয়েক দিন,Neutral
27,পল্লবি থেকে কোন দিকে জেতে হবে সেটা বলেন,Neutral
28,"ওনি হলেন তথ্য বাবার মা , তাই তথ্য অগ্রিম লিপিবদ্ধ থাকে",Negative
29,বড় ভাইকে আমি স্যালুট জানাই,Positive
30,"বুয়েট নিয়ে টিম 360 অনুসন্ধানের ভিডিও দিলে আরো বহু কিছু বেরিয়ে আসবে , আমরা এমন একটা ভিডিও চাই",Neutral
31,"পাপন একটা কুলাঙ্গার হারামি বদমাইশ জঙ্গি উগ্র খুনি কুশিক্ষিত সন্ত্রাসীদের গডফাদার , পাপইন্যে হালারে জুতার মালা পড়িয়ে দাও",Negative
32,রেস্টুরেনটে কলাপাতার উস ! বাংলাদেশে এমন টা হলে লোকে হাসবে খাবেকি…তবে কালচারাল একটা বেপার আছে যা ২ বাংলায় ২ রকম ভারতীয় দের জন্য ইলিশ ও খিচুরির দাওয়াত রইল…,Positive
33,বোকা চু. সাম্বারাতো এখন বুক দেখিয়ে পুরুষ শিকারে ব্যর্থ হবে তাই জ্বলছে ।,Negative
34,"করোনা ভাইরাস: বাংলাদেশে নতুন শনাক্ত ১৬০৪ জন , মৃত্যু ১৯ জনের",Negative
35,টিকার বৈশ্বিক উদ্যোগ কোভ্যাক্সের আওতায় বাংলাদেশকে দেওয়া জাপানের আরও সাত লাখ ৮১ হাজার ৪৪০ ডোজ অ্যাস্ট্রাজেনেকার...,Positive
36,হাতুড়ি লীগ কাদের,Negative
37,Didar am ধন্যবাদ,Positive
38,নাইজেরিয়ায় অপহরণের এমন ঘটনা এর আগেও ঘটেছে...,Negative
39,আকাশ প্রদ্বীপ এ দোষেইতো মাথায় টুপি পইরা চেহারা পরিবর্তন করে আছো,Neutral
40,এসপ্ল্যানেড থেকে কোন রাস্তা দিয়ে প্রায় কুড়ি কিমি ঘুরে প্যারামাউন্টে এলেন মশায়,Neutral
41,খুবিতে প্রথম টার্মের পরীক্ষা শুরু রোববার,Positive
42,"তান্ডবের বিতর্কিত দৃশ্য ছেঁটে ক্ষমা চাইল অ্যামাজন , তবুও নতুন মামলা",Negative
43,"যদিও ইন্ডিয়ান এক্সপ্রেস ভুল স্বীকার করে ক্ষমা চেয়েছে । কিন্তু এটা কোনো ভুল নয় ইচ্ছাকৃত ঘটনা । কারণ ইন্ডিয়ান এক্সপ্রেস হচ্ছে একটি কংগ্রেসপন্থী নিউজ চ্যানেল । ----A wrong image was inadvertently included in the cover collage of the advertori on Uttar Pradesh produced by the marketing department of the newspaper. The error is deeply regretted and the image has been removed in l digit editions of the paper. — The Indian Express ( @IndianExpress ) September ১২ , ২০২১-----https:// www.opindia.com/ /indian-express-apolog ises/",Negative
44,বলিউডের বর্তমান সময়ের অন্যতম আলোচিত জুটি ভিকি কৌশল ও ক্যাটরিনা কাইফ । তাদের প্রেমের গুঞ্জন পুরনো ।,Positive
45,এটাই আমার রবের খেলা । কি ক্ষমতা আছে মানুষের এটা আমার ও প্রমান হলো,Positive
46,"তথ্যমন্ত্রী হাছান মাহমুদ বলেছেন , সরকারি সিদ্ধান্ত বাস্তবায়নে কর্মকর্তা-কর্মচারীরা একনিষ্ঠভাবে কাজ করছেন বলেই দেশ এ…",Positive
47,"হ্যা , ফজরের নামাজ আদায় করলে অনেক সুফল পাওয়া যায়",Positive
48,"তিনি বারবার বলছিলেন , আমার টাকাপয়সা সব জলে গেল । জল মানে যে পানি তা বুঝতাম । আমি চিন্তা করলাম , বাবাজির টাকা যখন জলে…",Negative
49,পরীমনি: ডোন্ট লাভ মি বিচ - কারাগার থেকে বেরিয়ে হাতের লেখা নিয়ে বিবিসিকে যা বলছেন আলোচিত চিত্রনায়িকা,Neutral
50,দীপিকা ও ক্যাটরিনাকে চেনা যায় ? বিস্তারিত নিউজে #Rtv #Rtv_News #Breaking #Rtvupdate #Update_News #News #Bangladesh… https://t.co/ageuTY8onH,Neutral
51,আমার প্রিয় ফুড ব্লগার হিল্লোল ভাই এর সাথে বাকি পছন্দের ব্লগাররা । সবাইকে এক সাথে দেখে অনেক ভালো লাগছে,Positive
52,খালি হাতেই নেপাল প্রস্তুতি পর্ব শেষ করলো সাবিনারা https://t.co/Q59xiRYRft,Neutral
53,পুলিশ আপিগুলা দেখতে অন্নেক সুন্দর,Neutral
